Crime,Western,Eastern,Hong Kong Island,Total
1 強姦 Rape,2,2,10,64
2 非禮 Indecent Assault,21,46,121,682
3 謀殺及誤殺 Murder & Manslaughter,2,0,2,22
4 意圖謀殺 Attempted Murder,0,0,1,2
5 傷人 Wounding,33,53,214,1049
6 嚴重毆打 Serious Assault,109,158,476,3514
7 襲警 Assault on Police,9,10,44,217
8 綁架及拐帶兒童 Kidnapping & Child Stealing,0,0,0,1
9 虐待兒童 Cruelty to Child,17,16,38,300
10 刑事恐嚇 Criminal Intimidation,36,42,150,1401
11 使用槍械行劫 Robbery with Firearms/Arms,0,0,0,1
12 使用類似手槍物體行劫 Robbery with Pistol Like Object,0,0,2,5
13 其他行劫 Other Robberies,3,3,12,258
14 嚴重爆竊 Aggravated Burglary,1,0,1,3
15 勒索 Blackmail,75,73,197,1399
16 縱火 Arson,4,14,41,473
17 爆竊 (有毀壞者) Burglary with Breaking,57,51,190,1503
18 爆竊 (無毀壞者) Burglary without Breaking,12,26,61,589
19 盜竊 (搶掠) Theft (Snatching),0,4,10,163
20 盜竊 (扒竊) Theft (Pickpocketing),3,13,56,432
21 盜竊 (店舖盜竊) Theft (Shop Theft),216,556,1498,7756
22 車輛內盜竊 Theft from Vehicle,28,47,114,1366
23 擅自取去交通工具 Taking Conveyance without Authority,12,25,52,886
(失車 Missing Motor Vehicles),-11,-24,-50,-895
24 偷電 Abstracting of Electricity,1,0,2,27
25 地盤盜竊 Theft from Construction Site,3,7,13,208
26 其他雜項盜竊 Other Miscellaneous Thefts,272,368,1633,9476
27 接贓 Handling Stolen Goods,2,1,11,67
28 詐騙 Deception,735,1000,2941,15553
29 商業騙案 Business Fraud,0,0,2,4
30 偽造文件及假錢 Forgery and Coinage,24,42,197,949
31 非法性行為 Unlawful Sexual Intercourse,7,6,17,132
32 經營色情場所 Keeping Vice Establishments,4,1,16,55
33 促使/操控賣淫 Procuring/Controlling of Prostitution,0,0,0,38
34 粗獷性行為罪行 Unnatural Offences,2,0,2,12
35 其他違背社會道德的罪行 Other Offences Against Public Morality,8,16,86,358
36 製煉毒品 Manufacturing of Dangerous Drugs,0,1,1,20
37 販運毒品 Trafficking in Dangerous Drugs,12,23,73,624
38 藏有毒品 Possession of Dangerous Drugs,22,11,83,501
39 其他嚴重毒品罪行 Other Serious Drug Offences,0,0,0,4
40 誤導/提供虛假消息予警方 Misleading/Giving False Information to Police,2,3,21,150
41 發假誓 Perjury,0,0,1,6
42 拒捕 Resisting Arrest,7,9,48,271
43 逃走及非法劫回 Escape and Rescue,0,1,3,6
44 其他違背合法權力的罪行 Other Offences Against Lawful Authority,2,2,11,62
45 協助及教唆非法入境者 Aiding and Abetting of Illegal Immigrants,0,1,2,49
46 使用屬於他人的身份證 Using Identity Card Relating to Another,11,4,35,173
47 其他嚴重入境罪行 Other Serious Immigration Offences,16,13,47,193
48 刑事毀壞 Criminal Damage,220,347,820,432
49 其他侵犯人身的罪行 Other Offences Against Person,0,3,8,72
50 在公眾地方行為不檢/打鬥 Disorder/Fighting in Public Place,29,42,152,931
51 妨礙公安罪行 Offences Against Public Order,2,7,109,273
52 非法會社罪行 Unlawful Society Offences,10,9,29,180
53 借貸 Money Lending,7,0,8,32
54 嚴重賭博罪行 Serious Gambling Offences,23,19,68,390
55 串謀 Conspiracy,37,4,120,375
56 高空墮物 Object Dropped from Buildings,28,30,91,515
57 其他罪案 Other Crime,20,109,927,1811
58 藏有槍械及彈藥 Possession of Arms and Ammunition,3,2,8,80
59 藏有攻擊性武器 Possession of Offensive Weapon,17,20,81,591
60 身懷盜竊工具 Going Equipped for Stealing,1,0,4,79
61 藏有非法工具 Possession of Unlawful Instrument,0,2,43,173
62 干擾車輛 Tampering with Vehicle,0,1,1,17
63 非法典當罪行 Unlawful Pawning Offences,0,0,2,2
64 遊蕩 Loitering,16,8,41,223
65 危害國家安全/損害國家尊嚴罪行 Offences Against National Security and Dignity,0,1,18,32
合計 GRAND TOTAL,2185,3252,11065,63232
