name,address,price,foot,footprice,district,"tag"
康樂大廈中層44B號,麥當勞道44-44F號,3180,1526,20838,中半山,"分層單位
大廈"
錦輝大廈低層E室,麥當勞道68A號,1280,622,20578,中半山,"分層單位
大廈"
好景大廈麥當勞道66號低層B座,麥當勞道66號,2650,1311,20213,中半山,"分層單位
大廈"
健康村2期康欣閣(1B座)中層D室,英皇道668號,399,328,,北角,"分層單位
大廈"
健康村2期康祥閣(1A座)低層B室,英皇道668號,450,401,,北角,"分層單位
大廈"
柏蔚山2座高層E室,繼園街1號,14000,2028,69033,北角,"分層單位
大廈
有寵屋苑
露台
平台"
海璇1B期2座中層B室,渣華道133號,7800,1423,54813,北角,"分層單位
大廈
有寵屋苑"
維港頌1座中層A室,城市花園道32號,5800,1455,39862,北角,"分層單位
大廈
有寵屋苑"
柏蔚山3座高層D室,繼園街1號,4600,1230,37398,北角,"分層單位
大廈
有寵屋苑
露台
車位"
柏蔚山1座中層C室,繼園街1號,2900,781,37131,北角,"分層單位
大廈
有寵屋苑"
柏蔚山2座中層F室,繼園街1號,3000,837,35842,北角,"分層單位
大廈
有寵屋苑"
柏蔚山1座中層H室,繼園街1號,2020,617,32739,北角,"分層單位
大廈
有寵屋苑"
維港頌3座中層B室,城市花園道32號,3400,1040,32692,北角,"分層單位
大廈
有寵屋苑"
維港頌5座低層B室,城市花園道32號,3380,1065,31737,北角,"分層單位
大廈
有寵屋苑"
維港頌6座高層B室,城市花園道32號,1638,534,30674,北角,"分層單位
大廈
有寵屋苑"
柏蔚山3座高層F室,繼園街1號,2700,908,29735,北角,"分層單位
大廈
有寵屋苑"
海峯園1座(高峰閣)高層B室,福蔭道1-5號,2500,848,29481,北角,"分層單位
大廈"
君譽峰中層E室,馬寶道3號,600,205,29268,北角,"分層單位
大廈
有寵屋苑"
君譽峰低層K室,馬寶道3號,750,257,29182,北角,"分層單位
大廈
有寵屋苑"
君譽峰中層H室,馬寶道3號,1050,365,28767,北角,"分層單位
大廈
有寵屋苑"
君譽峰中層N室,馬寶道3號,740,258,28682,北角,"分層單位
大廈
有寵屋苑"
柏蔚山1座高層J室,繼園街1號,2300,803,28642,北角,"分層單位
大廈
有寵屋苑"
君譽峰低層E室,馬寶道3號,580,205,28292,北角,"分層單位
大廈
有寵屋苑
露台"
尚譽中層D室,月園街1號,468,167,28023,北角,"分層單位
大廈
有寵屋苑
露台"
柏蔚山1座低層H室,繼園街1號,1700,617,27552,北角,"分層單位
大廈
有寵屋苑"
柏蔚山2座低層F室,繼園街1號,2280,837,27240,北角,"分層單位
大廈
有寵屋苑"
柏蔚山2座低層D室,繼園街1號,2200,808,27227,北角,"分層單位
大廈
有寵屋苑"
君譽峰中層B室,馬寶道3號,770,287,26829,北角,"分層單位
大廈
有寵屋苑"
君譽峰高層D室,馬寶道3號,550,205,26829,北角,"分層單位
大廈
有寵屋苑
露台"
君譽峰中層D室,馬寶道3號,535,205,26097,北角,"分層單位
大廈
有寵屋苑
露台"
柏蔚山1座低層B室,繼園街1號,2050,799,25657,北角,"分層單位
大廈
有寵屋苑"
柏蔚山3座中層C室,繼園街1號,1300,519,25048,北角,"分層單位
大廈
有寵屋苑
露台"
尚譽低層A室,月園街1號,480,195,24615,北角,"分層單位
大廈
有寵屋苑"
尚譽低層D室,月園街1號,398,163,24417,北角,"分層單位
大廈
有寵屋苑
露台
平台"
柏蔚山1座低層J室,繼園街1號,1950,808,24133,北角,"分層單位
大廈
有寵屋苑
露台"
曉峰高層B室,明園西街28號,1300,549,23679,北角,"分層單位
大廈
有寵屋苑"
君譽峰中層J室,馬寶道3號,610,258,23643,北角,"分層單位
大廈
有寵屋苑"
尚譽低層C室,月園街1號,398,170,23411,北角,"分層單位
大廈
有寵屋苑
露台"
君譽峰低層K室,馬寶道3號,600,257,23346,北角,"分層單位
大廈
有寵屋苑"
形品高層C室,明園西街38號,1680,722,23268,北角,"分層單位
大廈
露台
車位"
君譽峰中層N室,馬寶道3號,598,258,23178,北角,"分層單位
大廈
有寵屋苑"
柏蔚山3座中層G室,繼園街1號,2100,912,23026,北角,"分層單位
大廈
有寵屋苑"
柏蔚山3座中層G室,繼園街1號,2100,912,23026,北角,"分層單位
大廈
有寵屋苑
露台"
富利來大廈C座高層1室,京華道9-27號,499,225,22177,北角,"分層單位
大廈"
馬寶居高層B室,馬寶道2F-2H,500,226,22123,北角,"分層單位
大廈"
宏暉大廈中層F室,宏安道2-12號,580,267,21722,北角,"分層單位
大廈"
健威花園C座低層2室,英皇道560號,990,456,21710,北角,"分層單位
大廈
有寵屋苑
平台"
宏華閣高層B室,京華道1-3號,560,258,21705,北角,"分層單位
大廈"
柏蔚山1座低層J室,繼園街1號,1750,808,21658,北角,"分層單位
大廈
有寵屋苑"
柏蔚山3座中層H室,繼園街1號,1800,832,21634,北角,"分層單位
大廈
有寵屋苑"
港運城2座高層F室,丹拿道51-61號,1700,788,21573,北角,"分層單位
大廈"
友福園低層E室,丹拿道44-58號,768,356,21573,北角,"分層單位
大廈
平台"
宏華閣高層B室,京華道1-3號,550,258,21317,北角,"分層單位
大廈"
和富中心12A座高層A室,和富道45號,1780,840,21190,北角,"分層單位
大廈
有寵屋苑"
明月大廈高層C室,月園街7-15號,435,207,21014,北角,"分層單位
大廈"
