month,二氧化硫,二氧化氮,臭氧,可吸入懸浮粒子PM10,微細懸浮粒子PM2.5
1,3,40,70,35,14
2,2,36,55,19,13
3,3,37,73,27,18
4,3,29,75,25,15
5,4,24,74,16,10
6,4,19,40,10,6
7,4,18,57,13,8
8,4,26,53,13,8
9,4,32,130,36,23
10,3,26,94,28,15
11,5,30,63,20,13
12,3,40,55,25,17
