學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
CCC KWEI WAH SHAN COLLEGE,中華基督教會桂華山中學,男女,中學,資助,香港北角雲景道６２號,東區,全日
CARMEL SCHOOL,,男女,中學,私立,香港筲箕灣道４６０號,東區,全日
CARITAS LOK YI SCHOOL,明愛樂義學校,男女,中學,資助,香港鯉景道５１號鯉景灣,東區,全日
CARITAS CHAI WAN MARDEN FDN SEC SCH,明愛柴灣馬登基金中學,男女,中學,資助,香港柴灣新廈街３３０號,東區,全日
CANOSSA COLLEGE,嘉諾撒書院,女,中學,資助,香港鰂魚涌海澤街１０號,東區,全日
BELILIOS PUBLIC SCHOOL,庇理羅士女子中學,女,中學,官立,香港天后廟道五十一號,東區,全日
TAIKOO PRIMARY SCHOOL,太古小學,男女,小學,資助,香港英皇道１１００號,東區,全日
SKH ST MICHAEL'S PRIMARY SCHOOL,聖公會聖米迦勒小學,男女,小學,資助,香港北角炮台山道２３號,東區,全日
SHAUKIWAN TSUNG TSIN SCHOOL,筲箕灣崇真學校,男女,小學,資助,香港筲箕灣巴色道３號,東區,全日
SHAU KEI WAN GOVERNMENT PRIMARY SCHOOL,筲箕灣官立小學,男女,小學,官立,香港筲箕灣筲箕灣東大街１９號,東區,全日
SHANGHAI ALUMNI PRIMARY SCHOOL,滬江小學,男女,小學,資助,香港鰂魚涌康怡花園康盛街１４號,東區,全日
SALVATION ARMY CENTALINE CHARITY FUND SC,救世軍中原慈善基金學校,男女,小學,資助,香港柴灣華廈街九號,東區,全日
SALESIAN SCHOOL,慈幼學校,男,小學,資助,香港筲箕灣柴灣道１６號,東區,全日
SA ANN WYLLIE MEMORIAL SCHOOL,救世軍韋理夫人紀念學校,男女,小學,資助,香港杏花邨盛泰道１００號,東區,全日
S.K.H. CHAI WAN ST. MICHAEL'S PRI SCH,聖公會柴灣聖米迦勒小學,男女,小學,資助,香港柴灣柴灣道３８０號,東區,全日
RCHK ISLAND WEST HONG CHI MORNINGHOPE SC,香港西區扶輪社匡智晨輝學校,男女,小學,資助,香港柴灣興華邨第二期一號校舍,東區,全日
QUARRY BAY  SCHOOL,鰂魚涌小學,男女,小學,英基學校協會,香港北角寶馬山道校園徑６號,東區,全日
PUN U ASSOCIATION WAH YAN PRIMARY SCHOOL,番禺會所華仁小學,男,小學,資助,香港北角百福道２號,東區,全日
PUI KIU PRIMARY SCHOOL,培僑小學,男女,小學,資助,香港柴灣小西灣富怡道１２號,東區,全日
PLK YU LEE MO FAN MEMORIAL SCHOOL,保良局余李慕芬紀念學校,男女,小學,資助,香港北角和富道１９號,東區,全日
NORTH POINT METHODIST PRIMARY SCHOOL,北角衞理小學,男女,小學,資助,香港北角百福道２Ａ號,東區,全日
NORTH POINT GOVERNMENT PRIMARY SCHOOL,北角官立小學,男女,小學,官立,香港北角英皇道８８８號,東區,全日
MENG TAK CATHOLIC SCHOOL,天主教明德學校,男女,小學,資助,香港柴灣祥民道１１號,東區,全日
LYC'EE FRANCAIS INTL (FRENCH INTL SCH),,男女,小學,私立,,東區,全日
KOREAN INTERNATIONAL SCHOOL,,男女,小學,私立,香港西灣河鯉景道５５號（內地段８８０２）,東區,全日
KIANGSU & CHEKIANG PRIMARY SCHOOL,蘇浙小學校,男女,小學,私立,香港寶馬山道２０號 １樓及２樓,東區,全日
KIANGSU & CHEKIANG PRIMARY SCHOOL,蘇浙小學校,男女,小學,私立,香港北角清華街３０號,東區,全日
KIANGSU & CHEKIANG PRIMARY SCHOOL,蘇浙小學校,男女,小學,私立,香港北角清華街３０號,東區,上午
HONG KONG RED CROSS HOSPITAL SCHOOLS,香港紅十字會醫院學校,男女,小學,資助,香港柴灣樂民道３號東區尤德夫人那打素醫院,東區,全日
HON WAH COLLEGE,漢華中學,男女,小學,直接資助計劃,香港小西灣富欣道３號,東區,全日
HKUGA PRIMARY SCHOOL,港大同學會小學,男女,小學,直接資助計劃,香港柴灣怡盛街９號,東區,全日
HKCWC HIOE TJO YOENG PRI SCH,香港中國婦女會丘佐榮學校,男女,小學,資助,香港筲箕灣西灣河街６１號,東區,全日
GRACE CHRISTIAN ACADEMY,培生學校,男女,小學,私立,香港渣華道１０８號渣華道１０８商業中心 １樓１及２室,東區,全日
ENDEAVR LEUNG LEE SAU YU MEM PRI SCH,勵志會梁李秀娛紀念小學,男女,小學,資助,香港筲箕灣耀興道２５號,東區,全日
ELCHK FAITH LOVE LUTHERAN SCHOOL,基督教香港信義會信愛學校,男女,小學,資助,香港柴灣漁灣邨第二座校舍,東區,全日
DSC INTERNATIONAL SCHOOL,德思齊加拿大國際學校,男女,小學,私立,香港鰂魚涌太古城,東區,全日
"CHINESE METHODIST SCHOOL, TANNER HILL",丹拿山循道學校,男女,小學,資助,香港北角百福道４號,東區,全日
CHINESE METHODIST SCHOOL (NORTH POINT),北角循道學校,男女,小學,資助,香港北角百福道１５號,東區,全日
CHINESE INTERNATIONAL SCHOOL,漢基國際學校,男女,小學,私立,香港北角寶馬山校園徑１號,東區,全日
CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND,啓基學校（港島）,男女,小學,資助,香港北角馬寶道８２號,東區,全日
CCC KEI WAN PRIMARY SCHOOL (ALDRICH BAY),中華基督教會基灣小學（愛蝶灣）,男女,小學,資助,香港筲箕灣愛信道３９號,東區,全日
CCC KEI WAN PRIMARY SCHOOL,中華基督教會基灣小學,男女,小學,資助,香港筲箕灣西灣河街６３號,東區,全日
CARMEL SCHOOL,,男女,小學,私立,香港筲箕灣道４６０號,東區,全日
CARITAS LOK YI SCHOOL,明愛樂義學校,男女,小學,資助,香港鯉景道５１號鯉景灣,東區,全日
CANOSSA SCHOOL (HONG KONG),香港嘉諾撒學校,男女,小學,資助,香港鰂魚涌海澤街８號,東區,全日
BUDDHIST CHUNG WAH KORNHILL PRI SCH,佛教中華康山學校,男女,小學,資助,香港鰂魚涌康愉街２號,東區,全日
ALDRICH BAY GOVERNMENT PRI SCH,愛秩序灣官立小學,男女,小學,官立,香港筲箕灣愛禮街１號,東區,全日
ZION LUTHERAN KINDERGARTEN,路德會錫安堂幼稚園,男女,幼稚園,私立,香港英皇道２７５號 ３樓,東區,下午
ZION LUTHERAN KINDERGARTEN,路德會錫安堂幼稚園,男女,幼稚園,私立,香港英皇道２７５號 ３樓,東區,上午
YIU TUNG BAPTIST KINDERGARTEN,耀東浸信會幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀富樓Ｂ翼及Ｃ翼地下,東區,全日
YIU TUNG BAPTIST KINDERGARTEN,耀東浸信會幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀富樓Ｂ翼及Ｃ翼地下,東區,下午
YIU TUNG BAPTIST KINDERGARTEN,耀東浸信會幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀富樓Ｂ翼及Ｃ翼地下,東區,上午
WWC(ED)HK LAI KWAI TIM DAY NURSERY,香港東區婦女福利會黎桂添幼兒園,男女,幼稚園,私立,香港北角丹拿道５３號 港運城２樓,東區,全日
WWC (EASTERN DIST) NURSERY HK,香港東區婦女福利會幼兒園,男女,幼稚園,私立,香港筲箕灣愛東邨 愛平樓地下,東區,全日
WISE LE SAGE ANGLO-CHINESE KINDERGARTEN,雅然中英文幼稚園,男女,幼稚園,私立,香港筲箕灣望隆街２號 銀河廣場閣樓全層,東區,全日
WISE LE SAGE ANGLO-CHINESE KINDERGARTEN,雅然中英文幼稚園,男女,幼稚園,私立,香港筲箕灣望隆街２號 銀河廣場閣樓全層,東區,下午
WISE LE SAGE ANGLO-CHINESE KINDERGARTEN,雅然中英文幼稚園,男女,幼稚園,私立,香港筲箕灣望隆街２號 銀河廣場閣樓全層,東區,上午
VICTORIA NURSERY (HARBOUR HEIGHTS),維多利亞（海峰園）幼兒園,男女,幼稚園,私立,香港北角福蔭道１，３＆５號海峰園 高峰閣第１座２樓,東區,下午
VICTORIA NURSERY (HARBOUR HEIGHTS),維多利亞（海峰園）幼兒園,男女,幼稚園,私立,香港北角福蔭道１，３＆５號海峰園 高峰閣第１座２樓,東區,上午
VICTORIA KINDERGARTEN,維多利亞幼稚園,男女,幼稚園,私立,香港鰂魚涌康山康安街２－８號康怡花園Ｒ座地下及地下下層,東區,全日
VICTORIA KINDERGARTEN,維多利亞幼稚園,男女,幼稚園,私立,香港鰂魚涌康山康安街２－８號康怡花園Ｒ座地下及地下下層,東區,下午
VICTORIA KINDERGARTEN,維多利亞幼稚園,男女,幼稚園,私立,香港鰂魚涌康山康安街２－８號康怡花園Ｒ座地下及地下下層,東區,上午
VICTORIA (KORNHILL) NURSERY,維多利亞（康怡）幼兒園,男女,幼稚園,私立,香港鰂魚涌康怡花園康愉街１４號 地下,東區,全日
VICTORIA (KORNHILL) NURSERY,維多利亞（康怡）幼兒園,男女,幼稚園,私立,香港鰂魚涌康怡花園康愉街１４號 地下,東區,下午
VICTORIA (KORNHILL) NURSERY,維多利亞（康怡）幼兒園,男女,幼稚園,私立,香港鰂魚涌康怡花園康愉街１４號 地下,東區,上午
TWGHS FONG SHU CHUEN NURSERY SCHOOL,東華三院方樹泉幼兒園,男女,幼稚園,私立,香港銅鑼灣福蔭道７號 銅鑼灣社區中心地下,東區,全日
TWGHS CHIAP HUA CHENG'S NURSERY SCHOOL,東華三院捷和鄭氏幼兒園,男女,幼稚園,私立,香港柴灣柴灣道３３８號 柴灣市政大廈 ３樓,東區,全日
TWGH FONG SHU FOOK TONG KINDERGARTEN,東華三院方樹福堂幼稚園,男女,幼稚園,私立,香港柴灣小西灣邨 瑞喜樓Ａ座地下,東區,全日
TWGH FONG SHU FOOK TONG KINDERGARTEN,東華三院方樹福堂幼稚園,男女,幼稚園,私立,香港柴灣小西灣邨 瑞喜樓Ａ座地下,東區,下午
TWGH FONG SHU FOOK TONG KINDERGARTEN,東華三院方樹福堂幼稚園,男女,幼稚園,私立,香港柴灣小西灣邨 瑞喜樓Ａ座地下,東區,上午
