學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
KORNHILL CHRISTIAN ANGLO-CHINESE KG,基督教康山中英文幼稚園,男女,幼稚園,私立,香港鰂魚涌康山道１號康怡廣場（北） １樓平台幼稚園,東區,全日
KORNHILL CHRISTIAN ANGLO-CHINESE KG,基督教康山中英文幼稚園,男女,幼稚園,私立,香港鰂魚涌康山道１號康怡廣場（北） １樓平台幼稚園,東區,下午
KORNHILL CHRISTIAN ANGLO-CHINESE KG,基督教康山中英文幼稚園,男女,幼稚園,私立,香港鰂魚涌康山道１號康怡廣場（北） １樓平台幼稚園,東區,上午
KOREAN INTERNATIONAL SCHOOL,,男女,幼稚園,私立,香港西灣河鯉景道５５號（內地段８８０２）,東區,全日
KIANGSU & CHEKIANG PRIMARY SCHOOL,蘇浙小學校,男女,幼稚園,私立,香港北角清華街３０號,東區,全日
KIANGSU & CHEKIANG PRIMARY SCHOOL,蘇浙小學校,男女,幼稚園,私立,香港北角清華街３０號,東區,下午
KIANGSU & CHEKIANG PRIMARY SCHOOL,蘇浙小學校,男女,幼稚園,私立,香港北角清華街３０號,東區,上午
KENDALL INTERNATIONAL PRESCHOOL (I.EAST),漢廸國際幼稚園（港島東）,男女,幼稚園,私立,香港鰂魚涌基利路 栢蕙苑,東區,下午
KENDALL INTERNATIONAL PRESCHOOL (I.EAST),漢廸國際幼稚園（港島東）,男女,幼稚園,私立,香港鰂魚涌基利路 栢蕙苑,東區,上午
ISLAND MONTESSORI INTERNATIONAL KINDERGA,港島蒙特梭利國際幼稚園,男女,幼稚園,私立,香港天后廟道１５１－１７３號百福花園地下商業單位,東區,下午
ISLAND MONTESSORI INTERNATIONAL KINDERGA,港島蒙特梭利國際幼稚園,男女,幼稚園,私立,香港天后廟道１５１－１７３號百福花園地下商業單位,東區,上午
INTERNATIONAL MONTESSORI SCH - AN IMEF,蒙特梭利國際學校,男女,幼稚園,私立,香港筲箕灣道１５５號譽‧東２樓６號舖,東區,上午
HOP YAT CHURCH CHAN PAK WANG MEMORIAL KG,合一堂陳伯宏紀念幼稚園,男女,幼稚園,私立,香港北角雲景道４８號地下－２樓及 ３－４樓平台,東區,全日
HOP YAT CHURCH CHAN PAK WANG MEMORIAL KG,合一堂陳伯宏紀念幼稚園,男女,幼稚園,私立,香港北角雲景道４８號地下－２樓及 ３－４樓平台,東區,下午
HOP YAT CHURCH CHAN PAK WANG MEMORIAL KG,合一堂陳伯宏紀念幼稚園,男女,幼稚園,私立,香港北角雲景道４８號地下－２樓及 ３－４樓平台,東區,上午
HONG KONG NOBEL PRESCHOOL - CHAI WAN,樂沛兒幼稚園 — 柴灣,男女,幼稚園,私立,香港柴灣泰民街１４號康翠臺第７座地下 低層部分及平台,東區,全日
HONG KONG NOBEL PRESCHOOL - CHAI WAN,樂沛兒幼稚園 — 柴灣,男女,幼稚園,私立,香港柴灣泰民街１４號康翠臺第７座地下 低層部分及平台,東區,下午
HONG KONG NOBEL PRESCHOOL - CHAI WAN,樂沛兒幼稚園 — 柴灣,男女,幼稚園,私立,香港柴灣泰民街１４號康翠臺第７座地下 低層部分及平台,東區,上午
HONG KONG MAN SANG KG (NORTH POINT),香港民生幼稚園（北角）,男女,幼稚園,私立,香港北角渣華道５２－６０號胡曰皆大廈２樓,東區,全日
HONG KONG MAN SANG KG (NORTH POINT),香港民生幼稚園（北角）,男女,幼稚園,私立,香港北角渣華道５２－６０號胡曰皆大廈２樓,東區,下午
HONG KONG MAN SANG KG (NORTH POINT),香港民生幼稚園（北角）,男女,幼稚園,私立,香港北角渣華道５２－６０號胡曰皆大廈２樓,東區,上午
HKFYG CHING LOK KINDERGARTEN,香港青年協會青樂幼稚園,男女,幼稚園,私立,香港西灣河西灣河街１２９號 利基大廈地下,東區,全日
HK & KKWA WAN TSUI KINDERGARTEN,港九街坊婦女會環翠幼稚園,男女,幼稚園,私立,香港柴灣環翠邨 喜翠樓地下,東區,全日
HK & KKWA WAN TSUI KINDERGARTEN,港九街坊婦女會環翠幼稚園,男女,幼稚園,私立,香港柴灣環翠邨 喜翠樓地下,東區,上午
HK & KKWA TING YUK CHEE KINDERGARTEN,港九街坊婦女會丁毓珠幼稚園,男女,幼稚園,私立,香港筲箕灣寶文街峻峰花園 第６層平台,東區,全日
HENG FA CHUEN LUTHERAN DAY NURSERY,路德會杏花邨幼兒園,男女,幼稚園,私立,香港柴灣杏花邨盛泰道１００號 地下,東區,全日
HENG FA CHUEN LUTHERAN DAY NURSERY,路德會杏花邨幼兒園,男女,幼稚園,私立,香港柴灣杏花邨盛泰道１００號 地下,東區,上午
HAMILTON HILL INTL KG (ISLAND EAST),,男女,幼稚園,私立,香港太古城太古城道３１號 唐宮閣 ２樓,東區,上午
GUIDEPOST MONTESSORI INTL KG (CHAI WAN),,男女,幼稚園,私立,香港柴灣富欣花園小西灣道９號地下幼稚園舖 （儲物室除外）,東區,下午
GUIDEPOST MONTESSORI INTL KG (CHAI WAN),,男女,幼稚園,私立,香港柴灣富欣花園小西灣道９號地下幼稚園舖 （儲物室除外）,東區,上午
GRACE GARDEN INT'L KG (LEI KING WAN),雅惠國際幼稚園（鯉景灣）,男女,幼稚園,私立,香港西灣河鯉景灣Ａ區太康街５５號地下 ＧＡ１２Ｂ－１４號舖,東區,下午
GRACE GARDEN INT'L KG (LEI KING WAN),雅惠國際幼稚園（鯉景灣）,男女,幼稚園,私立,香港西灣河鯉景灣Ａ區太康街５５號地下 ＧＡ１２Ｂ－１４號舖,東區,上午
GRACE BAPTIST KINDERGARTEN,懷恩浸信會幼稚園,男女,幼稚園,私立,香港北角書局街２８號 國賓大厦１字樓,東區,全日
GRACE BAPTIST KINDERGARTEN,懷恩浸信會幼稚園,男女,幼稚園,私立,香港北角書局街２８號 國賓大厦１字樓,東區,下午
GRACE BAPTIST KINDERGARTEN,懷恩浸信會幼稚園,男女,幼稚園,私立,香港北角書局街２８號 國賓大厦１字樓,東區,上午
EPWORTH VILLAGE METHODIST CHURCH KG,循道衛理聯合教會愛華村堂幼稚園,男女,幼稚園,私立,香港柴灣柴灣道１００號１樓 （包括幼兒中心）,東區,全日
EPWORTH VILLAGE METHODIST CHURCH KG,循道衛理聯合教會愛華村堂幼稚園,男女,幼稚園,私立,香港柴灣柴灣道１００號１樓 （包括幼兒中心）,東區,下午
EPWORTH VILLAGE METHODIST CHURCH KG,循道衛理聯合教會愛華村堂幼稚園,男女,幼稚園,私立,香港柴灣柴灣道１００號１樓 （包括幼兒中心）,東區,上午
EPOCH ANGLO-CHINESE KINDERGARTEN,怡寶中英文幼稚園,男女,幼稚園,私立,香港北角英皇道９５５－９５７號 惠芳閣 ２－３樓,東區,全日
EPOCH ANGLO-CHINESE KINDERGARTEN,怡寶中英文幼稚園,男女,幼稚園,私立,香港北角英皇道９５５－９５７號 惠芳閣 ２－３樓,東區,下午
EPOCH ANGLO-CHINESE KINDERGARTEN,怡寶中英文幼稚園,男女,幼稚園,私立,香港北角英皇道９５５－９５７號 惠芳閣 ２－３樓,東區,上午
ENDEAVOURERS CHAN CHENG KIT WAN KG,勵志會陳鄭潔雲幼稚園,男女,幼稚園,私立,香港柴灣翠灣邨 翠壽樓地下,東區,全日
ENDEAVOURERS CHAN CHENG KIT WAN KG,勵志會陳鄭潔雲幼稚園,男女,幼稚園,私立,香港柴灣翠灣邨 翠壽樓地下,東區,下午
ENDEAVOURERS CHAN CHENG KIT WAN KG,勵志會陳鄭潔雲幼稚園,男女,幼稚園,私立,香港柴灣翠灣邨 翠壽樓地下,東區,上午
ELCHK  HING WAH NURSERY SCHOOL,基督教香港信義會興華幼兒學校,男女,幼稚園,私立,香港柴灣興華一邨 美華樓 地下,東區,全日
DOMINIC SAVIO KINDERGARTEN,明我幼稚園,男女,幼稚園,私立,香港筲箕灣西灣河街九十六號一樓、二樓ＡＢＤ室 及九十八號 地下,東區,全日
DOMINIC SAVIO KINDERGARTEN,明我幼稚園,男女,幼稚園,私立,香港筲箕灣海寧街３號 １樓,東區,全日
DOMINIC SAVIO KINDERGARTEN,明我幼稚園,男女,幼稚園,私立,香港筲箕灣西灣河街九十六號一樓、二樓ＡＢＤ室 及九十八號 地下,東區,下午
DOMINIC SAVIO KINDERGARTEN,明我幼稚園,男女,幼稚園,私立,香港筲箕灣海寧街３號 １樓,東區,下午
DOMINIC SAVIO KINDERGARTEN,明我幼稚園,男女,幼稚園,私立,香港筲箕灣西灣河街九十六號一樓、二樓ＡＢＤ室 及九十八號 地下,東區,上午
DOMINIC SAVIO KINDERGARTEN,明我幼稚園,男女,幼稚園,私立,香港筲箕灣海寧街３號 １樓,東區,上午
CWBC PRE-SCH EDUCATON LUI MING CHOI KG,柴灣浸信會學前教育中心呂明才幼稚園,男女,幼稚園,私立,香港柴灣翡翠道３０號１樓及４樓天台 （包括幼兒中心）,東區,全日
CWBC PRE-SCH EDUCATON LUI MING CHOI KG,柴灣浸信會學前教育中心呂明才幼稚園,男女,幼稚園,私立,香港柴灣翡翠道３０號１樓及４樓天台 （包括幼兒中心）,東區,下午
CWBC PRE-SCH EDUCATON LUI MING CHOI KG,柴灣浸信會學前教育中心呂明才幼稚園,男女,幼稚園,私立,香港柴灣翡翠道３０號１樓及４樓天台 （包括幼兒中心）,東區,上午
CWBC PRESCH EDU LUI MING CHOI KG(SIU S W,柴灣浸信會學前教育中心呂明才幼稚園（小西灣）,男女,幼稚園,私立,香港柴灣小西灣邨 瑞富樓地下１－１０號,東區,全日
CWBC PRESCH EDU LUI MING CHOI KG(SIU S W,柴灣浸信會學前教育中心呂明才幼稚園（小西灣）,男女,幼稚園,私立,香港柴灣小西灣邨 瑞富樓地下１－１０號,東區,下午
CWBC PRESCH EDU LUI MING CHOI KG(SIU S W,柴灣浸信會學前教育中心呂明才幼稚園（小西灣）,男女,幼稚園,私立,香港柴灣小西灣邨 瑞富樓地下１－１０號,東區,上午
CWB VICTORIA NURSERY (HARBOUR HEIGHTS),銅鑼灣維多利亞（海峰園）幼兒園,男女,幼稚園,私立,香港北角福蔭道１，３＆５海峰園高峰閣 第１座１樓,東區,全日
CWB VICTORIA NURSERY (HARBOUR HEIGHTS),銅鑼灣維多利亞（海峰園）幼兒園,男女,幼稚園,私立,香港北角福蔭道１，３＆５海峰園高峰閣 第１座１樓,東區,下午
CWB VICTORIA NURSERY (HARBOUR HEIGHTS),銅鑼灣維多利亞（海峰園）幼兒園,男女,幼稚園,私立,香港北角福蔭道１，３＆５海峰園高峰閣 第１座１樓,東區,上午
CREATIVE KINDERGARTEN (HENG FA CHUEN),啓思幼稚園﹝杏花邨﹞,男女,幼稚園,私立,香港杏花邨盛泰道１００號幼稚園Ｂ,東區,全日
CREATIVE KINDERGARTEN (HENG FA CHUEN),啓思幼稚園﹝杏花邨﹞,男女,幼稚園,私立,香港杏花邨盛泰道１００號幼稚園Ｂ,東區,下午
CREATIVE KINDERGARTEN (HENG FA CHUEN),啓思幼稚園﹝杏花邨﹞,男女,幼稚園,私立,香港杏花邨盛泰道１００號幼稚園Ｂ,東區,上午
CHING CHUNG YU NGA KINDERGARTEN,青松裕雅幼稚園,男女,幼稚園,私立,香港筲箕灣興東邨 興祖樓地下,東區,全日
CHING CHUNG YU NGA KINDERGARTEN,青松裕雅幼稚園,男女,幼稚園,私立,香港筲箕灣興東邨 興祖樓地下,東區,下午
CHING CHUNG YU NGA KINDERGARTEN,青松裕雅幼稚園,男女,幼稚園,私立,香港筲箕灣興東邨 興祖樓地下,東區,上午
CHINESE INTERNATIONAL SCHOOL,漢基國際學校,男女,幼稚園,私立,香港北角寶馬山校園徑１號,東區,下午
CHINESE INTERNATIONAL SCHOOL,漢基國際學校,男女,幼稚園,私立,香港北角寶馬山校園徑１號,東區,上午
CCC CHAI WAN CHURCH DN,中華基督教會柴灣堂幼兒園,男女,幼稚園,私立,香港柴灣新翠花園 政府合署２樓,東區,全日
CCC CHAI WAN CHURCH DN,中華基督教會柴灣堂幼兒園,男女,幼稚園,私立,香港柴灣新翠花園 政府合署２樓,東區,下午
CCC CHAI WAN CHURCH DN,中華基督教會柴灣堂幼兒園,男女,幼稚園,私立,香港柴灣新翠花園 政府合署２樓,東區,上午
CARITAS LIONS CLUB HK(PACIFIC) NUR SCH,明愛香港太平洋獅子會幼兒學校,男女,幼稚園,私立,香港柴灣小西灣道９號 富欣花園停車場地下,東區,全日
CANNAN KINDERGARTEN (SIU SAI WAN),迦南幼稚園（小西灣）,男女,幼稚園,私立,香港小西灣小西灣道１８號富景花園 地下部分及１樓,東區,下午
CANNAN KINDERGARTEN (SIU SAI WAN),迦南幼稚園（小西灣）,男女,幼稚園,私立,香港小西灣小西灣道１８號富景花園 地下部分及１樓,東區,上午
C&MA SCHOLARS' ANGLO-CHINESE KG,宣道會上書房中英文幼稚園,男女,幼稚園,私立,香港杏花邨盛泰路１００號,東區,下午
C&MA SCHOLARS' ANGLO-CHINESE KG,宣道會上書房中英文幼稚園,男女,幼稚園,私立,香港杏花邨盛泰路１００號,東區,上午
BO BO NURSERY SCHOOL,寶寶幼兒學校,男女,幼稚園,私立,香港太古城太古灣道星輝台Ｐ１０１２ －Ｐ１０１６平台,東區,全日
BO BO NURSERY SCHOOL,寶寶幼兒學校,男女,幼稚園,私立,香港太古城太古灣道星輝台Ｐ１０１２ －Ｐ１０１６平台,東區,下午
BO BO NURSERY SCHOOL,寶寶幼兒學校,男女,幼稚園,私立,香港太古城太古灣道星輝台Ｐ１０１２ －Ｐ１０１６平台,東區,上午
BAPTIST PUI LI SCHOOL,浸信會培理學校,男女,幼稚園,私立,香港西灣河西灣河街１７５－１８１號,東區,全日
BAPTIST PUI LI SCHOOL,浸信會培理學校,男女,幼稚園,私立,香港西灣河西灣河街１７５－１８１號,東區,下午
BAPTIST PUI LI SCHOOL,浸信會培理學校,男女,幼稚園,私立,香港西灣河西灣河街１７５－１８１號,東區,上午
BAPTIST CONVENTION OF HK YIU HING KG,香港浸信會聯會耀興幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀興樓地下,東區,全日
BAPTIST CONVENTION OF HK YIU HING KG,香港浸信會聯會耀興幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀興樓地下,東區,下午
BAPTIST CONVENTION OF HK YIU HING KG,香港浸信會聯會耀興幼稚園,男女,幼稚園,私立,香港筲箕灣耀東邨 耀興樓地下,東區,上午
ABC PATHWAYS INTERNATIONAL KINDERGARTEN,,男女,幼稚園,私立,香港鰂魚涌英皇道１１２４號康山花園 第８座及第９座地下,東區,下午
ABC PATHWAYS INTERNATIONAL KINDERGARTEN,,男女,幼稚園,私立,香港鰂魚涌英皇道１１２４號康山花園 第８座及第９座地下,東區,上午
