學校英文名稱,學校中文名稱,就讀學生性別,學校級別,資助種類,學校地址,學校所在分區,學校授課時間
ZENITH KINDERGARTEN (KENNEDY TOWN),英藝幼稚園（堅尼地城）,男女,幼稚園,私立,香港堅尼地城海傍路２０號益豐花園 地下１號舖及１樓,中西區,上午
YORK INTERNATIONAL PRE-SCHOOL (HK),,男女,幼稚園,私立,香港水街１８號翠景閣 １樓及２樓,中西區,下午
YORK INTERNATIONAL PRE-SCHOOL (HK),,男女,幼稚園,私立,香港水街１８號翠景閣 １樓及２樓,中西區,上午
YAN CHAI HOSPITAL KWOK CHI LEUNG KG,仁濟醫院郭子樑幼稚園,男女,幼稚園,私立,香港西營盤高街９號 地下上層（南）,中西區,全日
YAN CHAI HOSPITAL FONG KONG FAI KG,仁濟醫院方江輝幼稚園,男女,幼稚園,私立,香港堅尼地城海旁２６號龍翔花園 地下Ａ舖,中西區,全日
WOMEN'S WELFARE CLUB W-DIST HK KG,香港西區婦女福利會幼稚園,男女,幼稚園,私立,香港上環必列啫士街６０號 地下　１樓及３樓,中西區,全日
WITTY KINDERGARTEN,盈思幼稚園,男女,幼稚園,私立,香港卑路乍街１６－１８號 再輝大廈地下高層,中西區,全日
WITTY KINDERGARTEN,盈思幼稚園,男女,幼稚園,私立,香港卑路乍街１６－１８號 再輝大廈地下高層,中西區,下午
WITTY KINDERGARTEN,盈思幼稚園,男女,幼稚園,私立,香港卑路乍街１６－１８號 再輝大廈地下高層,中西區,上午
WISELY NURSERY,偉思幼兒園,男女,幼稚園,私立,香港中環堅道１２９－１３３號 地下及１樓,中西區,全日
WISELY NURSERY,偉思幼兒園,男女,幼稚園,私立,香港中環堅道１２９－１３３號 地下及１樓,中西區,下午
WISELY NURSERY,偉思幼兒園,男女,幼稚園,私立,香港中環堅道１２９－１３３號 地下及１樓,中西區,上午
WISELY KINDERGARTEN,偉思幼稚園,男女,幼稚園,私立,香港中環堅道１２９－１３３號地庫一至三層,中西區,全日
WISELY KINDERGARTEN,偉思幼稚園,男女,幼稚園,私立,香港中環堅道１２９－１３３號地庫一至三層,中西區,下午
WISELY KINDERGARTEN,偉思幼稚園,男女,幼稚園,私立,香港中環堅道１２９－１３３號地庫一至三層,中西區,上午
WILDERNESS INTERNATIONAL KINDERGARTEN,,男女,幼稚園,私立,香港堅尼地城士美菲路８５號寶德大廈地下,中西區,下午
WILDERNESS INTERNATIONAL KINDERGARTEN,,男女,幼稚園,私立,香港堅尼地城士美菲路８５號寶德大廈地下,中西區,上午
VICTORIA (BELCHER) KINDERGARTEN,維多利亞（寶翠園）幼稚園,男女,幼稚園,私立,香港卑路乍街８號西寶城３樓（幼稚園）,中西區,全日
VICTORIA (BELCHER) KINDERGARTEN,維多利亞（寶翠園）幼稚園,男女,幼稚園,私立,香港卑路乍街８號西寶城３樓（幼稚園）,中西區,下午
VICTORIA (BELCHER) KINDERGARTEN,維多利亞（寶翠園）幼稚園,男女,幼稚園,私立,香港卑路乍街８號西寶城３樓（幼稚園）,中西區,上午
TUTOR TIME INTERNATIONAL KG (MID LEVELS),多多國際幼稚園（半山）,男女,幼稚園,私立,香港半山堅道５號寶林閣 地下Ｂ號舖,中西區,下午
TUTOR TIME INTERNATIONAL KG (MID LEVELS),多多國際幼稚園（半山）,男女,幼稚園,私立,香港半山堅道５號寶林閣 地下Ｂ號舖,中西區,上午
THE WOODLAND MONTESSORI PRE-SCHOOL (CR),,男女,幼稚園,私立,香港堅道１１０－１１８號安峰大廈 １樓至２樓,中西區,下午
THE WOODLAND MONTESSORI PRE-SCHOOL (CR),,男女,幼稚園,私立,香港堅道１１０－１１８號安峰大廈 １樓至２樓,中西區,上午
THE INDEPENDENT SCH FDN PRE-SCHOOLS,弘立幼稚園,男女,幼稚園,私立,香港堅尼地城卑路乍街９７號地下Ｇ０１號舖及 １樓１０１號舖,中西區,下午
THE INDEPENDENT SCH FDN PRE-SCHOOLS,弘立幼稚園,男女,幼稚園,私立,香港堅尼地城卑路乍街９７號地下Ｇ０１號舖及 １樓１０１號舖,中西區,上午
SUN ISLAND ENGLISH KG (BELCHER BRANCH),太陽島英文幼稚園（卑路乍街分校）,男女,幼稚園,私立,香港卑路乍街５６號嘉明大廈 地下入口及１至３樓,中西區,全日
SUN ISLAND ENGLISH KG (BELCHER BRANCH),太陽島英文幼稚園（卑路乍街分校）,男女,幼稚園,私立,香港卑路乍街５６號嘉明大廈 地下入口及１至３樓,中西區,下午
SUN ISLAND ENGLISH KG (BELCHER BRANCH),太陽島英文幼稚園（卑路乍街分校）,男女,幼稚園,私立,香港卑路乍街５６號嘉明大廈 地下入口及１至３樓,中西區,上午
ST STEPHEN'S GIRLS' COLLEGE KINDERGARTEN,聖士提反女子中學附屬幼稚園,男女,幼稚園,私立,香港中環柏道３３號地下部份車庫 及一樓全層,中西區,下午
ST STEPHEN'S GIRLS' COLLEGE KINDERGARTEN,聖士提反女子中學附屬幼稚園,男女,幼稚園,私立,香港中環柏道３３號地下部份車庫 及一樓全層,中西區,上午
ST STEPHEN'S CHURCH PRI SCH & KG,聖士提反堂小學暨幼稚園,男女,幼稚園,私立,香港般咸道７１號及薄扶林道６２號小學座及教堂座地下地庫１樓及 ２樓及地庫３樓活動室,中西區,全日
ST STEPHEN'S CHURCH PRI SCH & KG,聖士提反堂小學暨幼稚園,男女,幼稚園,私立,香港般咸道７１號及薄扶林道６２號小學座及教堂座地下地庫１樓及 ２樓及地庫３樓活動室,中西區,下午
ST STEPHEN'S CHURCH PRI SCH & KG,聖士提反堂小學暨幼稚園,男女,幼稚園,私立,香港般咸道７１號及薄扶林道６２號小學座及教堂座地下地庫１樓及 ２樓及地庫３樓活動室,中西區,上午
ST PAUL'S CHURCH KINDERGARTEN,聖保羅堂幼稚園,男女,幼稚園,私立,香港己連拿利（鐵崗）聖保羅堂伍庭芳堂及活動室及 約翰馬利樓地下至三樓,中西區,下午
ST PAUL'S CHURCH KINDERGARTEN,聖保羅堂幼稚園,男女,幼稚園,私立,香港己連拿利（鐵崗）聖保羅堂伍庭芳堂及活動室及 約翰馬利樓地下至三樓,中西區,上午
ST MATTHEW'S CHURCH KINDERGARTEN,聖馬太堂幼稚園,男女,幼稚園,私立,香港荷李活道２３２－２３４號及新街２９－３１號地下 、１樓及４樓,中西區,全日
ST MATTHEW'S CHURCH KINDERGARTEN,聖馬太堂幼稚園,男女,幼稚園,私立,香港荷李活道２３２－２３４號及新街２９－３１號地下 、１樓及４樓,中西區,下午
ST MATTHEW'S CHURCH KINDERGARTEN,聖馬太堂幼稚園,男女,幼稚園,私立,香港荷李活道２３２－２３４號及新街２９－３１號地下 、１樓及４樓,中西區,上午
ST CLARE'S PRIMARY SCHOOL,聖嘉勒小學,女,幼稚園,私立,香港般咸道光景台３－６號,中西區,下午
ST CLARE'S PRIMARY SCHOOL,聖嘉勒小學,女,幼稚園,私立,香港般咸道光景台３－６號,中西區,上午
ST ANTHONY'S ANGLO-CHINESE PRI SCH & KG,聖安多尼中英文小學暨幼稚園,男女,幼稚園,私立,香港西環日富里７—１３號 富基大廈１樓,中西區,全日
ST ANTHONY'S ANGLO-CHINESE PRI SCH & KG,聖安多尼中英文小學暨幼稚園,男女,幼稚園,私立,香港西環日富里７—１３號 富基大廈１樓,中西區,下午
ST ANTHONY'S ANGLO-CHINESE PRI SCH & KG,聖安多尼中英文小學暨幼稚園,男女,幼稚園,私立,香港西環日富里７—１３號 富基大廈１樓,中西區,上午
SMALL WORLD CHRISTIAN KINDERGARTEN,,男女,幼稚園,私立,香港中環波老道１０號地下,中西區,下午
SMALL WORLD CHRISTIAN KINDERGARTEN,,男女,幼稚園,私立,香港中環波老道１０號地下,中西區,上午
SJS BELCHER KG,聖雅各福群會寶翠園幼稚園,男女,幼稚園,私立,香港西環卑路乍街８號 西寶城商場２樓平台,中西區,全日
SACRED HEART CANOSSIAN KINDERGARTEN,嘉諾撒聖心幼稚園,男女,幼稚園,私立,香港香港中環羅便臣道,中西區,下午
SACRED HEART CANOSSIAN KINDERGARTEN,嘉諾撒聖心幼稚園,男女,幼稚園,私立,香港香港中環羅便臣道,中西區,上午
RHENISH MISSION SCHOOL,禮賢會學校,男女,幼稚園,私立,香港般咸道８６號Ａ 來恩樓地下至四樓,中西區,下午
RHENISH MISSION SCHOOL,禮賢會學校,男女,幼稚園,私立,香港般咸道８６號Ａ 來恩樓地下至四樓,中西區,上午
MIGHTY OAKS INTERNATIONAL KINDERGARTEN,奧恩國際幼稚園,男女,幼稚園,私立,香港堅尼地城卑路乍街４６Ａ號隆基大廈 １樓及１樓平台,中西區,下午
MIGHTY OAKS INTERNATIONAL KINDERGARTEN,奧恩國際幼稚園,男女,幼稚園,私立,香港堅尼地城卑路乍街４６Ａ號隆基大廈 １樓及１樓平台,中西區,上午
MALVERN COLLEGE PRE-SCH HK (ISLAND WEST),香港墨爾文國際幼稚園（港島西）,男女,幼稚園,私立,香港干諾道西１６５—１６６號偉景閣 地下Ｃ舖及一樓,中西區,全日
MALVERN COLLEGE PRE-SCH HK (ISLAND WEST),香港墨爾文國際幼稚園（港島西）,男女,幼稚園,私立,香港干諾道西１６５—１６６號偉景閣 地下Ｃ舖及一樓,中西區,下午
MALVERN COLLEGE PRE-SCH HK (ISLAND WEST),香港墨爾文國際幼稚園（港島西）,男女,幼稚園,私立,香港干諾道西１６５—１６６號偉景閣 地下Ｃ舖及一樓,中西區,上午
