web-scraper-order,001,002,003,004,005,006,007
1703923911-2328,康怡花園 E座 (1-8室) 低層 3室,康盛街13-15號,808 萬,524,"$15,419/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703923909-2327,大新閣 高層 B室,卑路乍街3-3A號,930 萬,584,"$15,924/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703923907-2326,康山花園 1座 中層 G室,英皇道1110-1128號,780 萬,592,已補,康怡 | 鰂魚涌,"分層單位
              大廈"
1703923904-2325,康怡花園 F座 (9-16室) 高層 9室,康盛街9-11號,"1,600 萬","1,091","$14,665/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              連租約"
1703923903-2324,康山花園 2座 高層 E室,英皇道1112號,768 萬,431,已補,康怡 | 鰂魚涌,"分層單位
              大廈"
1703923900-2323,君悅軒 低層 B室,西灣河街8號,"1,100 萬",632,"$17,405/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703923898-2322,般柏苑 低層 A室,柏道6A號,660 萬,322,"$20,496/呎",西半山,"分層單位
              大廈"
1703923895-2321,崇寧大廈 低層 A室,巴丙頓道1A號,"1,610 萬","1,082","$14,879/呎",西半山,"分層單位
              大廈"
1703923893-2320,建華花園 中層 A室,建華街2-8號,700 萬,421,"$16,627/呎",北角,"分層單位
              大廈"
1703923890-2319,寶福大廈 低層 B室,筲箕灣道312-322號,385 萬,242,"$15,909/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703923889-2318,翠麗軒 高層 B室,居賢坊3號,"1,850 萬",696,"$26,580/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703923886-2317,雁亭 高層 B室,海晏街38號,598 萬,267,"$22,397/呎",西灣河,"分層單位
              大廈"
1703923884-2316,港島．東18 高層 B室,成安街18號,830 萬,518,"$16,023/呎",西灣河,"分層單位
              大廈"
1703923882-2315,懿峰 低層 A室,西摩道9號,"5,400 萬","1,730","$31,213/呎",西半山,"分層單位
              大廈"
1703923880-2314,時樂花園 中層 B室,巴丙頓道6A號,790 萬,365,"$21,643/呎",西半山,"分層單位
              大廈"
1703923878-2313,樂嘉中心 2座 低層 B室,英皇道466號,980 萬,537,"$18,249/呎",北角,"分層單位
              大廈"
1703923876-2312,慧明苑 2座 低層 A室,干德道36號,"2,200 萬","1,027","$21,421/呎",西半山,"分層單位
              大廈
              有寵屋苑"
