web-scraper-order,001,002,003,004,005,006,007
1703922961-1908,太古城 觀海台 東海閣 (45座) 高層 G室,太古城道8號,"3,980 萬",708,"$56,214/呎",太古城,"相鄰單位
              大廈"
1703922959-1907,東霖苑 高層 7室,耀興道63號,460 萬,436,未補,西灣河,"分層單位
              大廈"
1703922958-1906,杏花邨 23座 低層 5室,盛泰道100號,930 萬,600,"$15,500/呎",杏花邨,"分層單位
              大廈"
1703922955-1905,百福花園 百利閣 低層 AB室,天后廟道171號,"1,490 萬","1,160","$12,844/呎",北角,"分層單位
              大廈"
1703922954-1904,麗豪閣 A座 低層 4室,干德道8號,"1,400 萬",692,"$20,231/呎",西半山,"分層單位
              大廈"
1703922951-1903,華曦大廈 低層 B室,堡壘街10-16號,785 萬,677,"$11,595/呎",北角,"分層單位
              大廈"
1703922949-1902,山翠苑 翠珮閣 (A座) 中層 8室,大潭道200號,410 萬,379,未補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703922947-1901,崑廬 高層 B室,加列山道44號,"8,500 萬","2,222","$38,253/呎",山頂 | 南區,"分層單位
              大廈"
1703922945-1900,綠意居 低層 B室,卑路乍街26號,798 萬,399,"$20,000/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922943-1899,港逸軒 低層 C室,春秧街128號,350 萬,184,"$19,021/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703922941-1898,寶玉閣 低層 A室,西摩道49號,690 萬,332,"$20,783/呎",西半山,"分層單位
              大廈"
1703922939-1897,殷然 低層 C室,堅道100號,"1,860 萬",582,"$31,958/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922936-1896,栢蕙苑 寧柏閣 (4座) 低層 G室,基利路2-8號,800 萬,589,"$13,582/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922934-1895,百福花園 百佳閣 中層 G室,天后廟道165號,750 萬,543,"$13,812/呎",北角,"分層單位
              大廈"
1703922932-1894,嘉輝大廈 低層 C室,西摩道23號,"1,200 萬",842,"$14,251/呎",西半山,"分層單位
              大廈"
1703922930-1893,嘉兆大廈 中層 B室,筲箕灣道209-223號,578 萬,449,"$12,873/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703922928-1892,鯉景灣 D段 安澤閣 (15座) 高層 B室,鯉景道64號,950 萬,605,"$15,702/呎",西灣河,"分層單位
              大廈"
1703922926-1891,翰林峰 1座 低層 B室,皇后大道西460號,988 萬,334,"$29,580/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑
              連租約"
1703922923-1890,康怡花園 L座 (9-16室) 低層 11室,康愉街39-41號,968 萬,605,"$16,000/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922921-1889,太古城 高山台 天山閣 (7座) 高層 F室,太古城道9號,"1,080 萬",536,"$20,149/呎",太古城,"分層單位
              大廈"
1703922918-1888,曉峰閣 2座 低層 A室,舊山頂道18號,"2,000 萬",657,"$30,441/呎",中半山,"分層單位
              大廈
              有寵屋苑
              連租約"
1703922916-1887,The Richmond 中層 D室,羅便臣道62C號,900 萬,282,"$31,914/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922915-1886,慧豪閣 1座 低層 E室,干德道22號,"1,800 萬",748,"$24,064/呎",西半山,"分層單位
              大廈"
1703922913-1885,帝華臺 低層 C室,列拿士地臺1號,"1,238 萬",671,"$18,450/呎",西半山,"分層單位
              大廈"
1703922911-1884,信怡閣 低層 C室,羅便臣道60號,"1,900 萬",903,"$21,040/呎",西半山,"分層單位
              大廈
              露台"
1703922909-1883,太古城 高山台 天山閣 (7座) 低層 H室,太古城道9號,980 萬,582,"$16,838/呎",太古城,"分層單位
              大廈"
1703922906-1882,藝里坊．1號 低層 C室,忠正街8號,798 萬,253,"$31,541/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703922903-1881,鯉景灣 C段 怡坤閣 (10座) 中層 E室,太康街37號,960 萬,539,"$17,810/呎",西灣河,"分層單位
              大廈"
1703922901-1880,興漢大廈 低層 F室,英皇道26-36號,800 萬,504,"$15,873/呎",北角半山,"分層單位
              大廈"
1703922899-1879,莊士明德軒 低層 A室,聖士提反里5號,"1,228 萬",589,"$20,848/呎",西半山,"分層單位
              大廈"
1703922896-1878,逸瑆 低層 C室,西灣河街9號,530 萬,264,"$20,075/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703922894-1877,曉峰閣 3座 高層 D室,舊山頂道18號,"1,850 萬",673,"$27,488/呎",中半山,"分層單位
              大廈
              有寵屋苑
              車位"
1703922892-1876,太古城 高山台 恆山閣 (12座) 低層 H室,太古城道19號,900 萬,593,"$15,177/呎",太古城,"分層單位
              大廈"
1703922888-1875,澤安閣 高層 D室,堅彌地城海旁6-8號,980 萬,488,"$20,081/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922886-1874,杏花邨 31座 中層 4室,盛泰道100號,790 萬,561,"$14,082/呎",杏花邨,"分層單位
              大廈"
1703922885-1873,豪廷峰 2座 高層 A室,炮台山道28號,"2,300 萬",848,"$27,122/呎",北角半山,"分層單位
              大廈
              有寵屋苑"
1703922883-1872,寶翠園 2期 6座 高層 D室,薄扶林道89號,"2,980 萬",907,"$32,855/呎",西半山,"分層單位
              大廈"
1703922880-1871,柏蔚山 3座 中層 H室,繼園街1號,"1,800 萬",832,"$21,634/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703922877-1870,藍灣半島 9座 中層 D室,小西灣道28號,"1,200 萬",734,"$16,348/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703922874-1869,順景雅庭 低層 A室,太平山街38號,800 萬,367,"$21,798/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922872-1868,高樂花園 3座 中層 G室,干諾道西155號,650 萬,334,"$19,461/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922870-1867,華輝閣 高層 C室,英華臺1-6號,720 萬,398,"$18,090/呎",西半山,"分層單位
              大廈"
1703922867-1866,均益大廈 第2期 A座 低層 A5室,德輔道西343號,450 萬,369,"$12,195/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922865-1865,太安樓 低層 5室,筲箕灣道57-87號,320 萬,352,"$9,090/呎",西灣河,"分層單位
              大廈"
1703922863-1864,東強大廈 低層 C室,筲箕灣東大街54-60號,388 萬,248,"$15,645/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703922862-1863,寶德大廈 低層 D室,士美非路85號,620 萬,346,"$17,919/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922859-1862,新翠花園 3座 高層 E室,柴灣道233號,670 萬,510,"$13,137/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703922857-1861,柏蔚山 1座 中層 C室,繼園街1號,"2,900 萬",781,"$37,131/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703922856-1860,采文軒 中層 D室,般咸道63號,998 萬,431,"$23,155/呎",西半山,"分層單位
              大廈"
1703922853-1859,富雅花園 3座 (金楓閣) 低層 D室,繼園臺9-10號,950 萬,623,"$15,248/呎",北角,"分層單位
              大廈"
1703922851-1858,杏花邨 13座 低層 4室,盛泰道100號,560 萬,475,"$11,789/呎",杏花邨,"分層單位
              大廈"
1703922849-1857,家樂花園 中層 C室,皇后大道西128號,635 萬,298,"$21,308/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922847-1856,星灣峰 高層 E室,耀興道88號,"1,080 萬",593,"$18,212/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703922845-1855,穎章大廈 高層 D室,般咸道37-47號,"1,370 萬",686,"$19,970/呎",西半山,"分層單位
              大廈"
1703922844-1854,No. 1 加冕臺 低層 B室,加冕臺1號,"1,090 萬",305,"$35,737/呎",西半山,"分層單位
              大廈"
1703922841-1853,皇后大道西416-418號 中層 A室,皇后大道西416-418號,380 萬,260,"$14,615/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922839-1852,興泰大廈 高層 B室,干諾道西139-140號,580 萬,310,"$18,709/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922837-1851,西邊街15號 低層 E室,西邊街15號,"1,136 萬",344,"$33,023/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922835-1850,羅便臣道80號 2座 低層 B室,羅便臣道80號,"3,600 萬","1,032","$34,883/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922832-1849,威利大廈 高層 A室,威靈頓街97號,560 萬,300,"$18,666/呎",西半山,"分層單位
              大廈"
1703922830-1848,奧卑利街 C室,奧卑利街,"1,200 萬",296,"$40,540/呎",西半山,"分層單位
              大廈
              天台"
1703922829-1847,碧翠園 B座 中層 D室,列堤頓道67-69號,"1,600 萬",704,"$22,727/呎",西半山,"分層單位
              大廈"
1703922827-1846,逸樺園 2座 高層 B室,基利路3號,"1,920 萬",752,"$25,531/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922824-1845,西摩道 高層 13A號,西摩道,"1,200 萬",945,"$12,698/呎",西半山,"分層單位
              大廈"
1703922823-1844,雍景臺 2座 中層 F室,羅便臣道70號,"2,500 萬","1,052","$23,764/呎",西半山,"分層單位
              大廈"
1703922821-1843,東興大廈 高層 B室,筲箕灣東大街28-40號,550 萬,330,"$16,666/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703922818-1842,域多利道60號 中層 C室,域多利道60號,"1,150 萬",564,"$20,390/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922816-1841,福華洋樓 中層 17號,建華街17-19號,720 萬,554,"$12,996/呎",北角,"分層單位
              大廈"
1703922814-1840,羅便臣道80號 2座 中層 D室,羅便臣道80號,"3,400 萬",841,"$40,428/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922812-1839,富雅花園 3座 (金楓閣) 高層 D室,繼園臺9-10號,888 萬,612,"$14,509/呎",北角,"分層單位
              大廈"
1703922811-1838,The Richmond 中層 B室,羅便臣道62C號,830 萬,217,"$38,248/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922808-1837,慧林閣 低層 A室,摩羅廟交加街17-27號,"1,200 萬",626,"$19,169/呎",西半山,"分層單位
              大廈"
1703922806-1836,南寧大廈 高層 A室,般咸道58-60號,"1,400 萬",525,"$26,666/呎",西半山,"分層單位
              大廈
              天台"
1703922805-1835,金裕大廈 低層 A室,甘雨街8號,720 萬,490,"$14,693/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922803-1834,太古城 星輝台 銀星閣 (53座) 高層 E室,太豐路1號,"1,450 萬",749,"$19,359/呎",太古城,"分層單位
              大廈"
1703922801-1833,海光苑 1座 高層 F室,海光街13-31號,748 萬,548,"$13,649/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703922798-1832,麗怡大廈 低層 C室,般咸道38號,880 萬,432,"$20,370/呎",西半山,"分層單位
              大廈"
1703922784-1831,康翠臺 2座 低層 G室,泰民街14號,600 萬,504,已補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703922782-1830,藍灣半島 8座 低層 G室,小西灣道28號,955 萬,594,"$16,077/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703922780-1829,昌輝閣 中層 C室,七姊妹道5-13號,850 萬,624,"$13,621/呎",北角,"分層單位
              大廈"
1703922778-1828,利都樓 高層 M室,英皇道177-191A號,539 萬,425,"$12,682/呎",北角,"分層單位
              大廈"
1703922775-1827,柏蔚山 2座 低層 D室,繼園街1號,"2,200 萬",808,"$27,227/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703922774-1826,Conduit 18 中層 B室,干德道16-18號,"2,700 萬",920,"$29,347/呎",西半山,"分層單位
              大廈
              車位"
1703922771-1825,益發大廈 中層 27室,英皇道1048-1056號,439 萬,389,"$11,285/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922769-1824,富景閣 中層 C室,英皇道885-891號,680 萬,339,"$20,059/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922767-1823,君譽峰 高層 D室,馬寶道3號,550 萬,205,"$26,829/呎",北角,"分層單位
              大廈
              有寵屋苑
              露台"
1703922765-1822,東發大廈 A座 中層 A4室(27號),錦屏街21-61號,535 萬,587,"$9,114/呎",北角,"分層單位
              大廈"
1703922763-1821,山景園 B座 中層 8室,山道72號,"1,650 萬","1,065","$15,492/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922761-1820,太古城 海景花園(西) 銀柏閣 (38座) 低層 H室,太古灣道16號,"4,400 萬","2,228","$19,748/呎",太古城,"相鄰單位
              大廈"
1703922760-1819,樂翠臺 1座 高層 A室,泰民街15號,890 萬,862,未補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703922757-1818,錦明閣 低層 E室,薄扶林道69號,720 萬,369,"$19,512/呎",西半山,"分層單位
              大廈"
1703922755-1817,時樂花園 高層 B室,巴丙頓道6A號,870 萬,365,"$23,835/呎",西半山,"分層單位
              大廈"
1703922753-1816,康景花園 C座 中層 5室,康柏徑10號,710 萬,560,"$12,678/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922751-1815,形薈 1B座 高層 C室,筲箕灣道393號,"1,350 萬",517,"$26,112/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703922749-1814,順昌大廈 中層 A室,厚和街20-34號,580 萬,324,"$17,901/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922747-1813,公主大廈 高層 4室,英皇道165-175號,"1,370 萬","1,061","$12,912/呎",北角,"分層單位
              大廈"
1703922745-1812,浚峯 中層 B室,爹核士街11號,950 萬,324,"$29,320/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703922743-1811,利華大廈 高層 B室,德輔道西111-117號,530 萬,447,"$11,856/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922741-1810,翰林峰 5座 中層 B室,皇后大道西460號,635 萬,215,"$29,534/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑
              露台"
1703922739-1809,曉譽 中層 A室,加倫臺36號,"1,680 萬",524,"$32,061/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922736-1808,康和花園 低層 C室,第三街83號,570 萬,308,"$18,506/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922735-1807,東祥大廈 低層 D室,第二街1-11號,411 萬,267,"$15,393/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922731-1806,美輪大廈 中層 I室,書局街1-25號,738 萬,725,"$10,179/呎",北角,"分層單位
              大廈"
1703922729-1805,西園 永翠閣(1座) 中層 B室,第二街83號,598 萬,365,"$16,383/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922728-1804,百合苑 中層 A室,般咸道20-22號,"1,100 萬",551,"$19,963/呎",西半山,"分層單位
              大廈"
1703922725-1803,德苑 高層 B室,梁輝臺5號,"1,550 萬",780,"$19,871/呎",西半山,"分層單位
              大廈"
1703922723-1802,福熙苑 中層 A室,羅便臣道22號,"1,200 萬",621,"$19,323/呎",西半山,"分層單位
              大廈"
1703922721-1801,翠麗苑 低層 A室,士美非路81號,938 萬,575,"$16,313/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922720-1800,殷樺花園 第一期 高層 C室,羅便臣道95號,"2,050 萬",854,"$24,004/呎",西半山,"分層單位
              大廈"
1703922717-1799,翰庭軒 低層 B室,堅道75號,"1,100 萬",485,"$22,680/呎",西半山,"分層單位
              大廈"
1703922715-1798,太古城 安盛台 高安閣 (32座) 低層 A室,太裕路9號,"1,200 萬",580,"$20,689/呎",太古城,"分層單位
              大廈"
1703922712-1797,豐盛大廈 高層 C室,干諾道西168號,738 萬,391,"$18,874/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703922710-1796,太古城 金殿台 隋宮閣 (26座) 低層 G室,太裕路4號,"1,250 萬",716,"$17,458/呎",太古城,"分層單位
              大廈"
1703922708-1795,明月大廈 高層 C室,月園街7-15號,435 萬,207,"$21,014/呎",北角,"分層單位
              大廈"
1703922706-1794,永興大樓 高層 A室,筲箕灣道374-380號,520 萬,394,"$13,197/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703922704-1793,福華洋樓 高層 17號,建華街17-19號,798 萬,554,"$14,404/呎",北角,"分層單位
              大廈"
1703922702-1792,逸瑆 中層 C室,西灣河街9號,668 萬,285,"$23,438/呎",西灣河,"分層單位
              大廈
              有寵屋苑"
1703922700-1791,形品 高層 B室,明園西街38號,718 萬,344,"$20,872/呎",北角,"分層單位
              大廈"
1703922698-1790,俊威閣 高層 B室,薄扶林道73號,588 萬,267,"$22,022/呎",西半山,"分層單位
              大廈"
1703922696-1789,豫苑 2座 低層 C室,柏道6號,"1,450 萬",790,"$18,354/呎",西半山,"分層單位
              大廈"
1703922693-1788,美菲閣 1座 中層 D室,士美非路43號,670 萬,372,"$18,010/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922692-1787,康和花園 高層 C室,第三街83號,"2,000 萬",645,"$31,007/呎",堅尼地城 | 西營盤,"複式單位
              大廈
              天台"
1703922690-1786,康怡花園 F座 (1-8室) 低層 4室,康盛街9-11號,"1,098 萬",596,"$18,422/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922688-1785,南里壹號 低層 3室,南里1號,750 萬,268,"$27,985/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922686-1784,些利街 前座,些利街,790 萬,602,"$13,122/呎",西半山,"分層單位
              大廈"
1703922684-1783,廣堅大廈 中層 B室,堅道22-22A號,"1,080 萬",436,"$24,770/呎",西半山,"分層單位
              大廈"
1703922681-1782,宏華閣 高層 B室,京華道1-3號,560 萬,258,"$21,705/呎",北角,"分層單位
              大廈"
1703922679-1781,雍景臺 1座 中層 D室,羅便臣道70號,"2,420 萬","1,117","$21,665/呎",西半山,"分層單位
              大廈"
1703922678-1780,蔚華閣 高層 A室,干德道56A號,"1,800 萬",686,"$26,239/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922675-1779,東熹苑 逸熹閣 (B座) 中層 3室,耀興道38號,520 萬,603,未補,西灣河,"分層單位
              大廈"
1703922674-1778,誠泰大樓 中層 72號,吉席街70-76號,418 萬,330,"$12,666/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922672-1777,友福園 低層 E室,丹拿道44-58號,548 萬,356,"$15,393/呎",北角,"分層單位
              大廈"
1703922668-1776,金發大廈 低層 C室,筲箕灣東大街11號,438 萬,386,"$11,347/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703922667-1775,寶石樓 高層 624號,英皇道614-628號,"1,500 萬","1,195","$12,552/呎",北角,"分層單位
              大廈"
1703922664-1774,滿華樓 高層 8室,萃文道9-23號,398 萬,316,"$12,594/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              天台"
1703922662-1773,Casa 880 低層 A室,英皇道880-886號,"1,500 萬",832,"$18,028/呎",康怡 | 鰂魚涌,"分層單位
              大廈"
1703922661-1772,家樂花園 低層 A室,皇后大道西128號,668 萬,298,"$22,416/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922658-1771,富利來大廈 C座 低層 3室,京華道9-27號,410 萬,238,"$17,226/呎",北角,"分層單位
              大廈"
1703922656-1770,太古城 海天花園 景天閣 (63座) 中層 D室,太古城道18D號,"1,600 萬",715,"$22,377/呎",太古城,"分層單位
              大廈"
1703922654-1769,佳景閣 低層 E室,山道38號,599 萬,330,"$18,151/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922651-1768,樂欣大廈 中層 A室,摩羅廟街31-37號,570 萬,255,"$22,352/呎",西半山,"分層單位
              大廈"
1703922649-1767,正大花園 高層 C室,羅便臣道27號,"1,680 萬",684,"$24,561/呎",西半山,"分層單位
              大廈"
1703922641-1766,城市花園 2期 10座 中層 F室,電氣道233號,"1,300 萬",626,"$20,766/呎",北角,"分層單位
              大廈"
1703922639-1765,半山捌號 中層 D室,摩羅廟街8號,688 萬,202,"$34,059/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922638-1764,懿山 低層 A室,第二街116-118號,"1,350 萬",432,"$31,250/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              露台
              平台"
1703922635-1763,高陞軒 低層 A室,高陞街38-40號,480 萬,216,"$22,222/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              露台"
1703922633-1762,福華大廈 高層 45號,列堤頓道43-53號,"1,600 萬",741,"$21,592/呎",西半山,"分層單位
              大廈"
1703922631-1761,利時大廈 中層 B室,皇后大道西399-401號,418 萬,229,"$18,253/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922628-1760,翰林軒 1座 低層 A室,蒲飛路23號,838 萬,401,"$20,897/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922627-1759,逸濤灣 春瑤軒 (1座) 低層 B室,太安街28號,"1,300 萬",549,"$23,679/呎",西灣河,"分層單位
              大廈"
1703922624-1758,富麗園 A座 中層 1室,雲景道50號,"1,450 萬",837,"$17,323/呎",北角半山,"分層單位
              大廈
              有寵屋苑"
1703922621-1757,柏匯 高層 B室,成安街33號,500 萬,210,"$23,809/呎",西灣河,"分層單位
              大廈
              有寵屋苑
              露台"
1703922619-1756,都城大樓 低層 F室,筲箕灣道251-261號,420 萬,395,"$10,632/呎",筲箕灣 | 柴灣,"分層單位
              大廈"
1703922617-1755,富雅花園 4座 (金桃閣) 高層 F室,繼園臺1-2號,"1,080 萬",619,"$17,447/呎",北角,"分層單位
              大廈"
1703922615-1754,富景花園 10座 低層 F室,小西灣道18號,380 萬,484,未補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703922614-1753,曉山閣 中層 E室,山道28號,668 萬,309,"$21,618/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922611-1752,合偉大廈 中層 A室,七姊妹道112-114號,650 萬,459,"$14,161/呎",北角,"分層單位
              大廈"
1703922609-1751,燦如閣 低層 A室(NO. 24),堅尼地道22-24號,"3,980 萬","1,419","$28,047/呎",中半山,"分層單位
              大廈"
1703922607-1750,順昌大廈 中層 C室,厚和街20-34號,650 萬,324,"$20,061/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922605-1749,富景花園 1座 中層 A室,小西灣道18號,738 萬,592,已補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703922604-1748,英邦大廈 低層 A室,卑利街69-71A號,580 萬,260,"$22,307/呎",西半山,"分層單位
              大廈"
1703922601-1747,永德大廈 低層 B室,筲箕灣道274-278號,425 萬,328,"$12,957/呎",西灣河,"分層單位
              大廈"
1703922599-1746,香島 3座 低層 C室,柴灣道33號,"1,500 萬",882,"$17,006/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑"
1703922597-1745,寶玉閣 低層 C室,西摩道49號,755 萬,370,"$20,405/呎",西半山,"分層單位
              大廈"
1703922595-1744,寶馬花園 2座 中層 C室,馬寶道33號,880 萬,470,"$18,723/呎",北角,"分層單位
              大廈"
1703922592-1743,麗灣大廈 高層 S室,筲箕灣道33-55號,408 萬,302,"$13,509/呎",西灣河,"分層單位
              大廈"
1703922590-1742,太古城 安盛台 高安閣 (32座) 中層 A室,太裕路9號,"1,020 萬",580,"$17,586/呎",太古城,"分層單位
              大廈"
1703922588-1741,采文軒 低層 D室,般咸道63號,960 萬,431,"$22,273/呎",西半山,"分層單位
              大廈"
1703922584-1740,屈地大廈 22-28號 高層 9室(NO. 28),屈地街22-28號,530 萬,521,"$10,172/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922582-1739,吉席街 C室,吉席街,684 萬,456,"$15,000/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922580-1738,仁寶閣 低層 A室,和富道74-82號,510 萬,297,"$17,171/呎",北角,"分層單位
              大廈"
1703922578-1737,恆隆銀行東區分行大廈 高層 B室,英皇道391號,646 萬,485,"$13,319/呎",北角,"分層單位
              大廈"
1703922577-1736,漢寧大廈 低層 B室,漢寧頓道8-8A號,"1,500 萬",845,"$17,751/呎",西半山,"分層單位
              大廈
              車位"
1703922574-1735,翠安閣 低層,薄扶林道71號,690 萬,338,"$20,414/呎",西半山,"分層單位
              大廈"
1703922572-1734,均益大廈 第1期 均益大廈第1期 高層 23B室,德輔道西430-440A號,450 萬,341,"$13,196/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922570-1733,曉翠苑 碧翠閣 (B座) 高層 9室,曉翠街7號,528 萬,645,未補,筲箕灣 | 柴灣,"分層單位
              大廈"
1703922568-1732,Eight South Lane 高層 C室,南里8-12號,840 萬,304,"$27,631/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922566-1731,均益大廈 第3期 B座 高層 B5室,德輔道西271-285號,580 萬,374,"$15,508/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922564-1730,城市花園 1期 3座 高層 A室,電氣道233號,"1,200 萬",807,"$14,869/呎",北角,"分層單位
              大廈"
1703922560-1729,君豪峰 中層 E室,英皇道856號,900 萬,299,"$30,100/呎",康怡 | 鰂魚涌,"分層單位
              大廈
              有寵屋苑"
1703922559-1728,學士臺 1座 低層 H室,薄扶林道101號,900 萬,531,"$16,949/呎",西半山,"分層單位
              大廈"
1703922556-1727,嘉輝花園 D座 低層 3室,士美非路71號,550 萬,314,"$17,515/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703922554-1726,學士臺 2座 低層 H室,薄扶林道101號,990 萬,531,"$18,644/呎",西半山,"分層單位
              大廈"
1703922552-1725,怡昇洋樓 中層 A室,堡壘街54-60號,598 萬,409,"$14,621/呎",北角,"分層單位
              大廈"
1703922551-1724,先施西環大廈 低層 19室,加多近街63-71號,688 萬,520,"$13,230/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922548-1723,帝后華庭 2座 高層 B室,皇后街1號,"1,420 萬",534,"$26,591/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑
              天台"
1703922545-1722,金豪閣 高層 C室,卑路乍街144-148號,500 萬,244,"$20,491/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922543-1721,維港頌 1座 中層 A室,城市花園道32號,"5,800 萬","1,455","$39,862/呎",北角,"分層單位
              大廈
              有寵屋苑"
1703922541-1720,金麗閣 低層 66B號,般咸道66B-66C號,"2,780 萬","1,508","$18,435/呎",西半山,"分層單位
              大廈"
1703922539-1719,Cluny Park 中層 C室,干德道53號,"4,770 萬","1,182","$40,355/呎",西半山,"分層單位
              大廈
              有寵屋苑"
1703922537-1718,萬德閣 B座 高層 3室,雲景道46號,"1,180 萬",663,"$17,797/呎",北角半山,"分層單位
              大廈"
1703922535-1717,高逸華軒 中層 B室,堅彌地城新海旁28號,"1,030 萬",451,"$22,838/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
1703922533-1716,柏蔚山 2座 高層 E室,繼園街1號,1.4 億,"2,028","$69,033/呎",北角,"分層單位
              大廈
              有寵屋苑
              露台
              平台"
1703922530-1715,帝豪閣 C座 高層 4室,干德道62G號,"2,580 萬","1,027","$25,121/呎",西半山,"分層單位
              大廈"
1703922528-1714,Imperial Kennedy 高層 A室,卑路乍街68號,"2,980 萬",901,"$33,074/呎",堅尼地城 | 西營盤,"分層單位
              大廈
              有寵屋苑"
1703922526-1713,雲峰大廈 D座 低層 2室,天后廟道156-158號,"2,600 萬","1,407","$18,479/呎",北角半山,"分層單位
              大廈
              有寵屋苑"
1703922524-1712,形薈 1A座 中層 D室,筲箕灣道393號,560 萬,330,"$16,969/呎",筲箕灣 | 柴灣,"分層單位
              大廈
              有寵屋苑
              露台"
1703922522-1711,加惠臺 1座 中層 C室,加惠民道29號,968 萬,464,"$20,862/呎",堅尼地城 | 西營盤,"分層單位
              大廈"
