608	九龍城（盛德街）	⇄	筲箕灣	
608P	小西灣（藍灣半島）	→	九龍城（盛德街）	只限平日上午繁忙時間服務
613	安泰（西）	⇄	筲箕灣	
613A	安泰（西）	⇄	杏花邨	只限平日繁忙時間服務
619	順利	⇄	中環（港澳碼頭）	
619X	順利	⇄	中環（港澳碼頭）	只限平日繁忙時間服務
671	鴨脷洲（利樂街）	⇄	鑽石山站	
678	上水	⇄	銅鑼灣（東院道）	只限平日繁忙時間服務
679	粉嶺皇后山邨	⇄	中環（香港站）	只限平日繁忙時間服務
680	利安	⇄	金鐘（東）	
680B	富安花園	→	金鐘（東）	只限平日上午繁忙時間服務
680P	烏溪沙站	→	金鐘（東）	只限平日上午繁忙時間服務
682	柴灣（東）	⇄	馬鞍山（烏溪沙站）	平日上午繁忙時間往港島方向以馬鞍山（利安邨）為起點站
682A	馬鞍山市中心	→	柴灣（東）	只限平日繁忙時間服務
682A	泥涌	←	柴灣（東）	只限平日繁忙時間服務
682B	水泉澳邨	⇄	柴灣（東）	只限平日繁忙時間服務
682C	沙田第一城	→	北角（港運城）	只限平日上午繁忙時間服務
682P	烏溪沙站	→	柴灣（東）	只限平日上午繁忙時間服務
690	康盛花園	⇄	中環（交易廣場）	
694	調景嶺站	⇄	小西灣邨	
694S	調景嶺站	⇄	小西灣邨	只限平日繁忙時間服務
933	荃灣西站	⇄	西灣河	只限平日繁忙時間服務
948E	青衣站	⇄	太古（康怡廣場）	只限平日繁忙時間服務
952C	掃管笏	→	太古（康怡廣場）	只限平日繁忙時間服務
952C	太古（康怡廣場）	←	鰂魚涌（新威園）	只限平日繁忙時間服務
955	屯門（菁田及和田）	⇄	西灣河	只限平日繁忙時間服務
960B	屯門（建生邨）	⇄	鰂魚涌（英皇道）	只限平日繁忙時間服務
960X	洪水橋（洪元路）	→	鰂魚涌（英皇道）	只限平日繁忙時間服務
960X	洪水橋（洪福邨）	←	鰂魚涌（英皇道）	只限平日繁忙時間服務
962C	屯門（龍門居）	→	太古（康怡廣場）	只限平日繁忙時間服務
962C	屯門（龍門居）	←	鰂魚涌（新威園）	只限平日繁忙時間服務
968X	元朗（德業街）	⇄	鰂魚涌（英皇道）	只限平日繁忙時間服務
969C	嘉湖山莊美湖居	→	太古（康怡廣場）	只限平日繁忙時間服務
969C	天水圍（天瑞邨）	←	鰂魚涌（新威園）	只限平日繁忙時間服務
976	新田	⇄	西灣河	只限平日繁忙時間服務
976A	新田	⇄	小西灣（藍灣半島）	只限平日繁忙時間服務
982C	碩門邨	→	西灣河（太康街）	只限平日上午繁忙時間服務
986	沙田圍	⇄	西灣河	只限平日繁忙時間服務
988	泥涌	⇄	柴灣（東）	只限平日繁忙時間服務
989	火炭（駿洋邨）	⇄	西灣河	只限平日繁忙時間服務
N118	小西灣（藍灣半島）	⇄	長沙灣（深旺道）	通宵服務
N122	筲箕灣	⇄	美孚	通宵服務
N619	順利	⇄	中環（港澳碼頭）	通宵服務
N680	錦英苑	⇄	中環（港澳碼頭）	通宵服務
N691	調景嶺	⇄	中環（港澳碼頭）	通宵服務
