專營巴士路線列表				
港島巴士				
104	堅尼地城	⇄	白田邨	
109	何文田	⇄	中環（港澳碼頭）	
111	坪石	⇄	中環（港澳碼頭）	
111P	彩福	⇄	中環（港澳碼頭）	只限平日繁忙時間服務
113	彩虹	⇄	堅尼地城（卑路乍灣）	
115	九龍城碼頭	⇄	中環（港澳碼頭）	
115P	海逸豪園	→	中環（港澳碼頭）	只限平日上午繁忙時間服務
182	中環（港澳碼頭）	⇄	沙田（愉翠苑）	
182X	中環（港澳碼頭）	→	沙田（愉翠苑）	只限平日下午繁忙時間服務
302	慈雲山（北）	→	上環（金龍中心）	只限平日上午繁忙時間服務
307	大埔中心	⇄	中環碼頭	平日08:10或之前往港島的班次以上環（永吉街）為總站
307A	大埔頭	→	上環（永吉街）	只限平日上午繁忙時間服務
373	上水	⇄	中環（香港站）	只限平日繁忙時間服務
601	寶達	⇄	金鐘（東）	
601P	寶達	⇄	上環	只限平日繁忙時間服務
603	平田	⇄	中環渡輪碼頭	
603A	平田	→	中環街市	只限平日繁忙時間服務
603A	中環街市	←	中環（林士街）	只限平日繁忙時間服務
603P	中環渡輪碼頭	→	平田	只限平日下午繁忙時間服務
603S	平田	→	中環（機利文街）	只限平日上午繁忙時間服務
619	順利	⇄	中環（港澳碼頭）	
619P	順利	→	中環（港澳碼頭）	只限平日上午繁忙時間服務
619X	順利	⇄	中環（港澳碼頭）	只限平日繁忙時間服務
621	麗港城	⇄	中環（香港站）	只限平日繁忙時間服務
641	啟德（啟晴邨）	⇄	中環（港澳碼頭）	只限平日繁忙時間服務
673	上水	⇄	中環（香港站）	
673A	上水	→	中環（林士街）	只限平日繁忙時間服務
673A	中環（林士街）	←	中環（香港站）	只限平日繁忙時間服務
673P	上水	→	中環（林士街）	只限平日上午繁忙時間服務
679	粉嶺皇后山邨	⇄	中環（香港站）	只限平日繁忙時間服務
680	利安	⇄	金鐘（東）	
680B	富安花園	→	金鐘（東）	只限平日上午繁忙時間服務
680P	烏溪沙站	→	金鐘（東）	只限平日上午繁忙時間服務
680X	烏溪沙站	⇄	中環（港澳碼頭）	只限平日繁忙時間服務
681	馬鞍山市中心	⇄	中環（香港站）	
681P	馬鞍山（耀安）	⇄	上環	只限平日繁忙時間服務
690	康盛花園	⇄	中環（交易廣場）	
690P	康盛花園	→	中環（交易廣場）	只限平日上午繁忙時間服務
690S	坑口	⇄	中環（交易廣場）	只限平日繁忙時間服務
H1	中環（天星碼頭）	⇄	尖沙咀（漢口道）	人力車觀光巴士路線
H2	中環（天星碼頭）	⇄	尖沙咀（漢口道）	人力車觀光巴士路線，只限每日晚上提供服務
N121	中環（港澳碼頭）	⇄	牛頭角	通宵服務
N182	廣源	⇄	中環（港澳碼頭）	通宵服務
N307	大埔中心	→	上環（永吉街）	通宵服務
N307	大埔中心	←	港澳碼頭	通宵服務
N368	元朗（西）	⇄	中環（港澳碼頭）	通宵服務
N373	粉嶺（聯和墟）	⇄	中環（港澳碼頭）	通宵服務
N619	順利	⇄	中環（港澳碼頭）	通宵服務
N680	錦英苑	⇄	中環（港澳碼頭）	通宵服務
N691	調景嶺	⇄	中環（港澳碼頭）	通宵服務
過海隧道巴士				
900	白石角	⇄	灣仔（會展）	星期日及公眾假期停止服務
904	堅尼地城（卑路乍灣）	⇄	荔枝角	
905	荔枝角	⇄	會展站	
905A	會展站	→	荔枝角	只限平日下午繁忙時間服務
905P	荔枝角	→	灣仔（港灣道）	只限平日上午繁忙時間服務
907B	廣福球場	→	灣仔（會展）	只限平日上午繁忙時間服務
907C	大埔頭	→	灣仔（會展）	只限平日繁忙時間服務
907C	灣仔（會展）	←	金鐘站	只限平日繁忙時間服務
914	海麗邨	⇄	天后站	
914P	海麗邨	→	天后站	只限平日上午繁忙時間服務
914X	海麗邨	→	天后站	只限平日上午繁忙時間服務
930	荃灣西站	⇄	會展站	每日10:55或之前往荃灣的班次以荃灣（愉景新城）為總站
930A	荃灣西站	→	會展站	只限平日繁忙時間服務
